"","species","season","cell","cell_lat","cell_lon","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","is_sig_except_off","is_sig_except_man","is_sig_anov_onset","is_sig_onset_offset","midday_dist","genus"
"910","Formica subsericea","2",492,33.4782608695652,-87.2173913043478,10,0.403570924194794,0.485376231501191,10.099391091194,9.14305192025342,12.8555954665857,6.38169218012796,4.6136100917444,7.80563491912058,15.059387054377,18.7916887591654,17.3395843954258,19.530241543962,25.9203541623262,25.5856041808058,26.9634317265508,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0593870543770016,"Formica"
"911","Solenopsis invicta","1",492,33.4782608695652,-87.2173913043478,24,0.296302648188351,5.35264985988966e-15,8.75812446497064,6.61851590210343,10.3356079180418,5.51264130630704,4.20750431025611,6.78443950295027,14.2351347105742,19.1787911983443,16.1843475870123,22.3270280542892,25.9816127326574,25.122799523943,26.3767907724118,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.764865289425826,"Solenopsis"
"912","Solenopsis invicta","2",492,33.4782608695652,-87.2173913043478,44,0.00236312028456888,7.92948130953805e-07,8.27898133575589,7.54099446469621,10.1374468763845,7.11965641894667,6.24193461749656,8.95684246657121,14.1139844099783,18.3609576071678,17.1241794343221,18.5930498751664,25.5873214759274,24.8660877350297,27.2524587318755,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.886015590021675,"Solenopsis"
"913","Solenopsis invicta","4",492,33.4782608695652,-87.2173913043478,28,0.0617244337418999,1.27799679513719e-06,6.84073624901483,5.3594974431453,10.6025229737256,7.34889426843669,6.8074966844029,8.34287809525827,14.4364966931412,21.2126558363464,17.0956417399461,21.6976863939166,23.5607279617678,22.8664383120083,24.0045982484659,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.563503306858808,"Solenopsis"
"914","Linepithema humile","2",492,33.4782608695652,-87.2173913043478,10,0.102261733835208,0.208912057446222,10.5374248881021,9.61926212821857,12.4671731612108,7.51179023656753,6.85876715330665,9.33523935815445,13.3943191389287,15.8083660208063,15.0869921942811,17.1228095860311,25.140266425256,24.4355534217441,25.7898074671242,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1.60568086107132,"Linepithema"
"915","Linepithema humile","4",492,33.4782608695652,-87.2173913043478,18,0.0014188614236925,1.61280592076855e-07,6.08065331538911,4.43396421663368,7.52973786932434,8.67405568548218,7.38995675992288,9.65784855533338,12.680923677786,20.1946967898021,15.7367277674947,20.1681910429034,23.8319477151747,23.5422343906145,24.2596890272717,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2.31907632221404,"Linepithema"
"916","Solenopsis richteri","2",492,33.4782608695652,-87.2173913043478,10,0.203384390086963,0.0202563518402327,10.0902453509836,9.16573340859177,13.3360636304119,8.73239544641864,6.74543293121819,11.3373279333317,15.3375326090678,18.1176498336531,16.9640485048741,19.1234796797555,25.4576471721968,24.6926911843279,26.4463542701091,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.337532609067832,"Solenopsis"
"917","Pheidole obscurithorax","2",437,30.7826086956522,-95.304347826087,15,0.399631471004216,4.11990395165084e-05,5.83781365962909,4.53500025648364,8.34298347856746,6.74748575940752,6.05782276061472,7.38504428900772,13.822762053244,20.418849933172,19.0333979339355,22.8611722925856,20.4001946515193,19.8540737510744,21.3635485654523,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.17723794675604,"Pheidole"
"918","Pseudomyrmex gracilis","1",437,30.7826086956522,-95.304347826087,27,0.879201686614855,4.13113791560966e-24,10.3574951223465,8.97452045363696,10.9827263368822,6.86369824307402,6.49214326448673,7.53217923902866,14.3173963903966,17.4123128661891,16.6839115205751,18.0071159228602,19.7777544579921,19.3381097518113,20.9855002063462,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.682603609603389,"Pseudomyrmex"
"919","Pseudomyrmex gracilis","2",437,30.7826086956522,-95.304347826087,92,0.793048888721583,6.72144875202439e-16,8.1339621196834,7.30962754301782,9.13681630035455,6.7406732007799,6.03207345144722,6.85538938554506,14.026831459271,18.9645798024885,18.3783820333986,19.5663633321823,20.4431226158961,19.708258124314,21.3675331476717,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.973168540728954,"Pseudomyrmex"
"920","Pseudomyrmex gracilis","3",437,30.7826086956522,-95.304347826087,78,0.594907874934846,7.27552842107367e-09,7.01174304638762,6.41912239814873,7.47983736125192,5.79368460875814,5.36555574937275,6.67476650067723,13.6788949717238,19.8321622886818,18.8086756748958,19.8424357873744,21.6412578598264,20.4513950212857,22.4621714578419,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.32110502827622,"Pseudomyrmex"
"921","Pseudomyrmex gracilis","4",437,30.7826086956522,-95.304347826087,70,0.181358331402334,1.84889429287142e-18,7.07659158724271,5.77906576171367,7.93856657981578,6.63848623101626,6.03873652000737,7.46367356929731,13.3981428295057,20.0347262862662,18.5209316222992,21.0367220478724,21.857454616003,20.7277708573129,22.6085994892305,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.60185717049427,"Pseudomyrmex"
"922","Camponotus pennsylvanicus","1",437,30.7826086956522,-95.304347826087,12,0.603595604021387,3.70613899697387e-21,10.2634455120894,7.51868206027784,12.8155693851623,7.45997484937138,5.93781572273407,8.16074046023785,13.4675838107975,15.7747349833712,15.1273032731159,17.0535877872524,20.8504420070124,19.6427537481316,21.8459851472644,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.5324161892025,"Camponotus"
"923","Camponotus pennsylvanicus","2",437,30.7826086956522,-95.304347826087,137,0.112788253772205,3.02817866501292e-07,7.75349059545974,7.41236693364843,8.88403758284794,7.46997432863646,6.9501231968004,7.58090702975613,13.9881816603012,19.5825777296523,18.8725109347772,20.406027460184,21.4569046363601,20.6389598239198,21.9089401758521,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,1.01181833969875,"Camponotus"
"924","Camponotus pennsylvanicus","3",437,30.7826086956522,-95.304347826087,69,0.185521300139468,1.46563863637609e-05,7.89050160409478,6.73089247468772,9.02875985758565,5.48130879077803,4.79162793205903,5.97728517297133,14.4066793928374,20.8482410615263,19.8234821524702,21.344594555107,20.5672832155797,19.3779042109666,22.0049442953165,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.593320607162591,"Camponotus"
"925","Camponotus pennsylvanicus","4",437,30.7826086956522,-95.304347826087,59,0.807047472132164,1.8919648970313e-16,8.03310790355997,7.51321103717735,9.12962410220363,6.43907743661662,6.03967779233957,7.36617556919863,14.3860876617375,19.4278171457385,17.9382560831362,21.3669951543226,21.1613041792227,20.6615338265091,22.8259198522546,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.613912338262468,"Camponotus"
"926","Solenopsis invicta","1",437,30.7826086956522,-95.304347826087,150,0.371575158690432,0.333566130815558,9.42280960052191,9.03658071016938,10.6743570518572,7.56240387350828,6.52703741509024,8.04731613577789,15.2228431855951,19.4399493334066,18.8119650474107,20.5926249378634,21.1347033382122,20.3496895970765,21.6043138623327,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.222843185595144,"Solenopsis"
"927","Solenopsis invicta","2",437,30.7826086956522,-95.304347826087,150,0.197901943240177,1.40117826830916e-08,6.53986369775637,6.37059663626957,7.93991120063838,6.36487166273169,5.45632906345628,6.91060091902554,14.1092676275842,21.1392066275986,20.0404439682842,21.9278771030011,20.2318585616251,19.4571013613834,20.8967889983246,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.890732372415783,"Solenopsis"
"928","Solenopsis invicta","3",437,30.7826086956522,-95.304347826087,38,0.295213638694281,0.000876561840608181,6.71505863058625,5.010118331924,7.46685067279014,5.93869639232401,5.37255867120213,6.95461807820427,14.3102445838501,20.0764481556133,20.107081382705,21.7124389000697,22.4985787588333,21.1531402917276,23.4774796632021,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.689755416149918,"Solenopsis"
"929","Solenopsis invicta","4",437,30.7826086956522,-95.304347826087,75,0.973608334909925,9.89981477378153e-14,6.93532774020023,5.15968656842569,8.24877861861389,6.40205905176951,6.09899348945365,7.3446531669996,13.6846563860645,20.9305080696661,19.6014534392232,22.4340498559902,21.0043601959913,20.4484168180495,22.2244850183153,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.31534361393552,"Solenopsis"
"930","Leptogenys elongata","2",437,30.7826086956522,-95.304347826087,10,0.198175082219266,0.00442156321315656,7.20350104514962,8.34524815276031,12.8247237436787,7.21906887879271,6.88766999685491,8.17154003845998,15.2362526475632,21.1384763282043,17.3026680246164,23.8440699283048,19.7874006807069,19.1995369952151,20.860708430628,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.236252647563163,"Leptogenys"
"931","Atta texana","1",437,30.7826086956522,-95.304347826087,69,0.21304213181746,1.7478360900704e-27,5.95374375514671,4.15416239039477,8.23917122377112,8.01647970198542,7.02637861779525,8.62797965027137,14.6652720306096,22.4706071498998,19.8342472495062,23.9265171449725,19.8046911134787,19.3167499251433,20.581046986448,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.334727969390375,"Atta"
"932","Atta texana","2",437,30.7826086956522,-95.304347826087,117,0.109403601086978,0.00145472980492028,6.81949915395878,5.94027165118311,7.51525869926791,7.37634220938822,6.91312108540894,7.73337566647156,13.7697427150048,20.9492153939204,19.1833002753825,21.0654235623846,20.9741011439624,20.0684080912095,21.5839367501026,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1.23025728499518,"Atta"
