"","species","season","cell","cell_lat","n","anova_p","manova_p","q5","q5_low","q5_high","bl_q5","bl_q5_low","bl_q5_high","q50","q95","q95_low","q95_high","bl_q95","bl_q95_low","bl_q95_high","onset_ci_ol","offset_ci_ol","is_sig_any","midday_dist","genus"
"356","Camponotus planatus",4,740,28.9855072463768,74,0.426098695818436,2.36887444158138e-08,8.20137433050078,7.79960009092486,9.59103478071969,7.37133531863114,6.05809318813951,8.01882504896346,14.199993429839,18.6765016834336,18.0992872110779,19.6522756637975,20.076796490468,19.325057882794,21.1883533064278,TRUE,TRUE,TRUE,0.800006570160996,"Camponotus"
"357","Odontomachus brunneus",2,740,28.9855072463768,27,0.000131162514758615,0.000459756104105751,9.66548254476559,7.77735473383463,14.002512028851,6.30929914911517,5.73064062635411,6.7451099598238,16.7567447913276,22.6811586910264,21.2446602086223,24.6185576559605,20.8672721480473,20.4624281652294,22.0190393246996,FALSE,TRUE,TRUE,1.75674479132756,"Odontomachus"
"358","Odontomachus brunneus",3,740,28.9855072463768,13,0.467688671427675,0.383970643223084,7.75365664318351,6.36256155707335,10.1362340299468,6.33525193779377,6.048491318254,6.99343371352012,13.7997391717612,20.6644767791066,19.6511813193684,22.6166001690023,20.1556933627657,19.4660715169772,20.5449417163141,TRUE,TRUE,FALSE,1.2002608282388,"Odontomachus"
"359","Odontomachus brunneus",4,740,28.9855072463768,20,0.763078815177136,0.471562082504943,6.9805921252232,5.52230958170107,8.68066932520211,6.5511843685475,5.95500597049474,7.5332347225287,13.6036927284277,20.9484262454516,17.1291868170846,21.8769420192262,20.2458450773892,19.7844711723905,21.0637174244321,TRUE,TRUE,FALSE,1.39630727157231,"Odontomachus"
"360","Pheidole obscurithorax",2,740,28.9855072463768,17,0.437187533805366,9.02832559859465e-05,6.12200453690205,6.48651987123337,9.60011755234684,7.35826049061182,6.79986791254304,7.76394916831513,13.6290521769583,18.7428475257261,16.2419269476679,19.9884907164252,21.1166568189305,20.0853760203393,22.3196617044383,TRUE,FALSE,TRUE,1.37094782304167,"Pheidole"
"361","Pheidole obscurithorax",4,740,28.9855072463768,9,0.863044349201824,0.0675517307614592,8.16067978737504,6.19919016458133,10.2963503050457,8.03870080454265,7.27969571581848,8.56948259107815,13.4372987129444,17.7182077182954,14.1168526811059,19.5007577310852,19.2057155806057,18.072968011333,19.8524813005207,TRUE,TRUE,FALSE,1.56270128705561,"Pheidole"
"362","Camponotus socius",3,740,28.9855072463768,9,0.337588082110725,0.0231377753667636,6.32172413324113,4.78770370757292,9.35342198259815,5.4869190488524,4.9311693223335,6.7735410653241,13.2825258240829,18.7111332352415,14.6537681594355,21.6463653212359,20.1446199964365,18.5857931694489,21.106596320431,TRUE,TRUE,TRUE,1.71747417591713,"Camponotus"
"363","Camponotus castaneus",2,740,28.9855072463768,44,0.00624009117193098,0.0222278220840805,7.18835795391583,5.66307534886777,8.86831419247241,7.50390042108331,6.59245480445091,7.66357295158512,15.7339532600077,24.0432189871063,22.0777145153787,25.8864344661194,21.0206915151005,20.0815922854791,21.7192065245659,TRUE,FALSE,TRUE,0.733953260007654,"Camponotus"
"364","Pheidole megacephala",4,740,28.9855072463768,9,0.120439581844276,0.00457366369963646,5.54270148789725,5.83138741777027,19.4210049326647,5.93630502429285,4.83543117884566,6.66058711064957,15.5551761829805,23.7929508286761,21.3041876326842,25.434344676837,19.7349655460188,19.1025222351899,21.2041152039508,TRUE,FALSE,TRUE,0.555176182980526,"Pheidole"
"365","Odontomachus ruginodis",4,740,28.9855072463768,9,0.0373800139816046,0.000277717860670159,7.06553742620854,4.05216882205396,8.5594988280503,7.49174507048838,7.38107460355165,8.2044057781834,15.1601120344634,23.8044344318053,15.4971232520742,25.3016724382217,18.8749838906819,17.9648982547458,19.0262585725263,TRUE,TRUE,TRUE,0.160112034463422,"Odontomachus"
